Year,Month,Day,Site,NABAEnglishName,ButterflyCount,Party_Hours,#Parties
1986,8,30,AtascosaHighlandsAZ,Arizona Powdered-Skipper,5,35,5
1986,8,30,AtascosaHighlandsAZ,Elada Checkerspot,442,35,5
1986,8,30,AtascosaHighlandsAZ,Dorantes Longtail,2,35,5
1986,8,30,AtascosaHighlandsAZ,Painted Lady,18,35,5
1986,8,30,AtascosaHighlandsAZ,American Lady,54,35,5
1987,8,22,AtascosaHighlandsAZ,Desert Cloudywing,2,35,4
1987,8,22,AtascosaHighlandsAZ,Gulf Fritillary,4,35,4
1987,8,22,AtascosaHighlandsAZ,Bronze Roadside-Skipper,10,35,4
1987,8,22,AtascosaHighlandsAZ,Dotted Roadside-Skipper,1,35,4
1987,8,22,AtascosaHighlandsAZ,Large Roadside-Skipper,2,35,4
1987,8,22,AtascosaHighlandsAZ,Nysa Roadside-Skipper,4,35,4
1987,8,22,AtascosaHighlandsAZ,Palmer's Metalmark,1,35,4
1987,8,22,AtascosaHighlandsAZ,Empress Leilia,86,35,4
1987,8,22,AtascosaHighlandsAZ,Sachem,1,35,4
1987,8,22,AtascosaHighlandsAZ,Moon-marked Skipper,2,35,4
1987,8,22,AtascosaHighlandsAZ,Pipevine Swallowtail,49,35,4
1987,8,22,AtascosaHighlandsAZ,Western Pygmy-Blue,20,35,4
1987,8,22,AtascosaHighlandsAZ,Arizona Metalmark,6,35,4
1987,8,22,AtascosaHighlandsAZ,Fatal Metalmark,2,35,4
1987,8,22,AtascosaHighlandsAZ,'Siva' Juniper Hairstreak,1,35,4
1987,8,22,AtascosaHighlandsAZ,Common Streaky-Skipper,27,35,4
1987,8,22,AtascosaHighlandsAZ,White-striped Longtail,2,35,4
