Site,year,Mseason_tmean,Mseason_tmin,Mseason_tmax,Mseason_precip,previous_Mseason_precip
McDowellSonoranPreserve,1981,30.395125448028676,18,41.6,80.33,NA
McDowellSonoranPreserve,1982,29.482831541218637,12.1,42.1,102.41,80.33
McDowellSonoranPreserve,1983,30.532616487455197,18,43.8,189.07,102.41
McDowellSonoranPreserve,1984,29.525913978494625,17.7,41.9,214.70999999999998,189.07
McDowellSonoranPreserve,1985,29.50641577060932,14.4,43.7,150.89000000000001,214.70999999999998
McDowellSonoranPreserve,1986,28.797025089605736,10.4,42.8,152.29999999999998,150.89000000000001
McDowellSonoranPreserve,1987,29.724982078853046,17.4,41.4,54.25,152.29999999999998
McDowellSonoranPreserve,1988,30.282293906810036,15.4,41.7,121.69999999999999,54.25
McDowellSonoranPreserve,1989,31.1394623655914,16,43.9,76.36,121.69999999999999
McDowellSonoranPreserve,1990,29.76931899641577,18.8,42.6,189.07,76.36
McDowellSonoranPreserve,1991,30.54924731182796,19.9,41.5,65.52,189.07
McDowellSonoranPreserve,1992,29.837240143369176,17.6,41,187.92,65.52
McDowellSonoranPreserve,1993,29.861612903225804,15.9,44.2,97.7,187.92
McDowellSonoranPreserve,1994,31.71336917562724,18.6,43.1,52.39,97.7
McDowellSonoranPreserve,1995,32.12068100358423,19.2,46.5,109.7,52.39
McDowellSonoranPreserve,1996,30.62093189964158,16.4,43.4,149.74,109.7
McDowellSonoranPreserve,1997,30.774516129032257,21,42.5,59.75,149.74
McDowellSonoranPreserve,1998,30.64551971326165,18.5,44.3,59.51,59.75
McDowellSonoranPreserve,1999,29.90806451612903,19.2,41.6,148.06,59.51
McDowellSonoranPreserve,2000,31.36326164874552,18.7,42.7,52.879999999999995,148.06
McDowellSonoranPreserve,2001,31.233655913978495,21.3,43.6,60.3,52.879999999999995
McDowellSonoranPreserve,2002,31.15383512544803,17.1,41.7,77.37,60.3
McDowellSonoranPreserve,2003,31.570071684587813,21.4,44,54.42999999999999,77.37
McDowellSonoranPreserve,2004,30.17232974910394,15.3,42.2,60.269999999999996,54.42999999999999
McDowellSonoranPreserve,2005,30.793906810035843,18.3,43.6,102.95,60.269999999999996
McDowellSonoranPreserve,2006,30.15942652329749,17.7,43.6,126.35,102.95
McDowellSonoranPreserve,2007,31.422222222222224,16.2,43.7,74.94,126.35
McDowellSonoranPreserve,2008,30.72605734767025,20.5,42.2,128.97,74.94
McDowellSonoranPreserve,2009,31.454587813620073,20.1,42.2,33.88,128.97
McDowellSonoranPreserve,2010,31.163978494623656,18.3,41.5,52.04,33.88
McDowellSonoranPreserve,2011,31.663584229390683,20.2,43,102.46,52.04
McDowellSonoranPreserve,2012,30.748709677419356,20.6,42.8,121.61000000000001,102.46
McDowellSonoranPreserve,2013,30.19720430107527,15.9,42.1,93.85,121.61000000000001
McDowellSonoranPreserve,2014,29.72301075268817,15.9,40.9,227.12,93.85
McDowellSonoranPreserve,2015,30.864767025089606,20.6,42.6,44.36,227.12
McDowellSonoranPreserve,2016,30.178028673835126,15.6,41.3,78.96000000000001,44.36
McDowellSonoranPreserve,2017,30.451039426523298,14.5,43.1,58.19,78.96000000000001
McDowellSonoranPreserve,2018,31.316594982078854,21.2,42.8,124.14,58.19
McDowellSonoranPreserve,2019,31.44641577060932,18.3,42.3,98.52,124.14
McDowellSonoranPreserve,2020,32.66172043010753,18,44.2,21.970000000000002,98.52
McDowellSonoranPreserve,2021,30.09559139784946,18.7,41.8,283.24,21.970000000000002
PatagoniaAZ,1981,23.904659498207884,12.2,35.7,226.26,NA
PatagoniaAZ,1982,23.870681003584227,9.4,36.5,235.18,226.26
PatagoniaAZ,1983,24.32831541218638,13.2,38,360.63,235.18
PatagoniaAZ,1984,22.879390681003585,11.5,34.1,434.68,360.63
PatagoniaAZ,1985,22.81236559139785,7,37.9,310.75,434.68
PatagoniaAZ,1986,22.45100358422939,4.3,37.6,273.17,310.75
PatagoniaAZ,1987,22.424874551971325,7.8,36.3,267.52,273.17
PatagoniaAZ,1988,22.822258064516127,7.4,35.3,346.59000000000003,267.52
PatagoniaAZ,1989,24.06193548387097,8.5,39.1,138.99,346.59000000000003
