Year,Month,Day,Site,NABAEnglishName,LatinAnalysisName,ButterflyCount,#Parties,PartyHours
1980,7,13,RamseyCanyonAZ,Orange Sulphur,Colias_eurytheme  ,20,3,17
1980,7,13,RamseyCanyonAZ,Orange-edged Roadside-Skipper,Amblyscirtes_fimbriata  ,13,3,17
1980,7,13,RamseyCanyonAZ,Painted Lady,Vanessa_cardui  ,5,3,17
1980,7,13,RamseyCanyonAZ,Pearl Crescent,Phyciodes_tharos  ,4,3,17
1980,7,13,RamseyCanyonAZ,Pipevine Swallowtail,Battus_philenor  ,32,3,17
1980,7,13,RamseyCanyonAZ,Queen,Danaus_gilippus ,70,3,17
1980,7,13,RamseyCanyonAZ,Reakirt's Blue,Hemiargus_isola  ,5,3,17
1980,7,13,RamseyCanyonAZ,Red Satyr,Megisto_rubricata  ,6,3,17
1980,7,13,RamseyCanyonAZ,Red-spotted Purple,Limenitis_arthemis_astyanax  ,5,3,17
1980,7,13,RamseyCanyonAZ,Short-tailed Skipper,Zestusa_dorus  ,2,3,17
1980,7,13,RamseyCanyonAZ,Silver-spotted Skipper,Epargyreus_clarus ,3,3,17
1980,7,13,RamseyCanyonAZ,Sleepy Orange,Eurema_nicippe  ,30,3,17
1980,7,13,RamseyCanyonAZ,Spring Azure,Celastrina_ladon  ,8,3,17
1980,7,13,RamseyCanyonAZ,Taxiles Skipper,Poanes_taxiles  ,118,3,17
1980,7,13,RamseyCanyonAZ,Two-tailed Swallowtail,Papilio_multicaudata  ,4,3,17
1980,7,13,RamseyCanyonAZ,West Coast Lady,Vanessa_annabella  ,2,3,17
1980,7,13,RamseyCanyonAZ,Western Pygmy-Blue,Brephidium_exile  ,2,3,17
1980,7,13,RamseyCanyonAZ,Zela Metalmark,Emesis_zela  ,3,3,17
1981,7,19,RamseyCanyonAZ,Acacia Skipper,Cogia_hippalus  ,12,4,27
1981,7,19,RamseyCanyonAZ,American Lady,Vanessa_virginiensis  ,9,4,27
1981,7,19,RamseyCanyonAZ,Arizona Hairstreak,Erora_quaderna  ,1,4,27
1981,7,19,RamseyCanyonAZ,Black Swallowtail,Papilio_polyxenes  ,1,4,27
