Year,Month,Day,Site,NABAEnglishName,LatinAnalysisName,ButterflyCount,PartyHours,#Observers,#Parties,TotalDistanceMi
2018,7,31,Sabino Canyon,Giant Swallowtail,Papilio_cresphontes  ,1,33.5,14,6,15
2018,7,31,Sabino Canyon,Two-tailed Swallowtail,Papilio_multicaudata  ,34,33.5,14,6,15
2018,7,31,Sabino Canyon,Clouded Sulphur,Colias_philodice ,1,33.5,14,6,15
2018,7,31,Sabino Canyon,Orange Sulphur,Colias_eurytheme  ,139,33.5,14,6,15
2018,7,31,Sabino Canyon,Southern Dogface,Colias_cesonia  ,3,33.5,14,6,15
2018,7,31,Sabino Canyon,Cloudless Sulphur,Phoebis_sennae  ,234,33.5,14,6,15
2018,7,31,Sabino Canyon,Large Orange Sulphur,Phoebis_agarithe  ,1,33.5,14,6,15
2018,7,31,Sabino Canyon,Lyside Sulphur,Kricogonia_lyside  ,4,33.5,14,6,15
2018,7,31,Sabino Canyon,Mexican Yellow,Eurema_mexicana  ,2,33.5,14,6,15
2018,7,31,Sabino Canyon,Tailed Orange,Eurema_proterpia  ,9,33.5,14,6,15
2018,7,31,Sabino Canyon,Sleepy Orange,Eurema_nicippe  ,26,33.5,14,6,15
2018,7,31,Sabino Canyon,Dainty Sulphur,Nathalis_iole  ,2,33.5,14,6,15
2018,7,31,Sabino Canyon,Colorado Hairstreak,Hypaurotis_crysalus ,5,33.5,14,6,15
2018,7,31,Sabino Canyon,Thicket Hairstreak,Callophrys_spinetorum  ,1,33.5,14,6,15
2018,7,31,Sabino Canyon,Gray Hairstreak,Strymon_melinus  ,1,33.5,14,6,15
2018,7,31,Sabino Canyon,Arizona Hairstreak,Erora_quaderna  ,5,33.5,14,6,15
2018,7,31,Sabino Canyon,Western Pygmy-Blue,Brephidium_exile  ,3,33.5,14,6,15
2018,7,31,Sabino Canyon,Marine Blue,Leptotes_marina  ,12,33.5,14,6,15
2018,7,31,Sabino Canyon,Ceraunus Blue,Hemiargus_ceraunus  ,19,33.5,14,6,15
2018,7,31,Sabino Canyon,Reakirt's Blue,Hemiargus_isola  ,4,33.5,14,6,15
2018,7,31,Sabino Canyon,Spring Azure,Celastrina_ladon  ,141,33.5,14,6,15
2018,7,31,Sabino Canyon,Fatal Metalmark,Calephelis_nemesis  ,2,33.5,14,6,15
2018,7,31,Sabino Canyon,Zela Metalmark,Emesis_zela  ,2,33.5,14,6,15
2018,7,31,Sabino Canyon,Palmer's Metalmark,Apodemia_palmeri  ,1,33.5,14,6,15
2018,7,31,Sabino Canyon,Nais Metalmark,Apodemia_nais  ,15,33.5,14,6,15
2018,7,31,Sabino Canyon,American Snout,Libytheana_carinenta  ,18,33.5,14,6,15
2018,7,31,Sabino Canyon,Gulf Fritillary,Agraulis_vanillae  ,2,33.5,14,6,15
2018,7,31,Sabino Canyon,Bordered Patch,Chlosyne_lacinia  ,9,33.5,14,6,15
2018,7,31,Sabino Canyon,Tiny Checkerspot,Dymasia_dymas  ,7,33.5,14,6,15
2018,7,31,Sabino Canyon,Elada Checkerspot,Texola_elada  ,40,33.5,14,6,15
2018,7,31,Sabino Canyon,Texan Crescent,Phyciodes_texana  ,5,33.5,14,6,15
2018,7,31,Sabino Canyon,Mylitta Crescent,Phyciodes_mylitta  ,1,33.5,14,6,15
2018,7,31,Sabino Canyon,American Lady,Vanessa_virginiensis  ,2,33.5,14,6,15
2018,7,31,Sabino Canyon,Painted Lady,Vanessa_cardui  ,1,33.5,14,6,15
2018,7,31,Sabino Canyon,Red Admiral,Vanessa_atalanta  ,1,33.5,14,6,15
2018,7,31,Sabino Canyon,Red-spotted Purple,Limenitis_arthemis_astyanax  ,7,33.5,14,6,15
2018,7,31,Sabino Canyon,Viceroy,Limenitis_archippus  ,1,33.5,14,6,15
2018,7,31,Sabino Canyon,California Sister,Adelpha_bredowii  ,4,33.5,14,6,15
2018,7,31,Sabino Canyon,Empress Leilia,Asterocampa_leilia  ,32,33.5,14,6,15
2018,7,31,Sabino Canyon,Monarch,Danaus_plexippus ,6,33.5,14,6,15
2018,7,31,Sabino Canyon,Queen,Danaus_gilippus ,13,33.5,14,6,15
2018,7,31,Sabino Canyon,Dull Firetip,Pyrrhopyge_araxes  ,9,33.5,14,6,15
2018,7,31,Sabino Canyon,Silver-spotted Skipper,Epargyreus_clarus ,6,33.5,14,6,15
2018,7,31,Sabino Canyon,Golden Banded-Skipper,Autochton_cellus  ,21,33.5,14,6,15
2018,7,31,Sabino Canyon,Desert Cloudywing,Achalarus_casica  ,1,33.5,14,6,15
2018,7,31,Sabino Canyon,Northern Cloudywing,Thorybes_pylades  ,26,33.5,14,6,15
2018,7,31,Sabino Canyon,Acacia Skipper,Cogia_hippalus  ,24,33.5,14,6,15
2018,7,31,Sabino Canyon,Arizona Powdered-Skipper,Systasea_zampa  ,1,33.5,14,6,15
2018,7,31,Sabino Canyon,Juvenal's Duskywing,Erynnis_juvenalis  ,1,33.5,14,6,15
2018,7,31,Sabino Canyon,Mournful Duskywing,Erynnis_tristis  ,4,33.5,14,6,15
2018,7,31,Sabino Canyon,Pacuvius Duskywing,Erynnis_pacuvius ,39,33.5,14,6,15
2018,7,31,Sabino Canyon,Funereal Duskywing,Erynnis_funeralis  ,3,33.5,14,6,15
2018,7,31,Sabino Canyon,Common Streaky-Skipper,Celotes_nessus  ,1,33.5,14,6,15
2018,7,31,Sabino Canyon,Common Sootywing,Pholisora_catullus  ,7,33.5,14,6,15
2018,7,31,Sabino Canyon,Edwards' Skipperling,Oarisma_edwardsii  ,1,33.5,14,6,15
2018,7,31,Sabino Canyon,Orange Skipperling,Copaeodes_aurantiacus  ,5,33.5,14,6,15
2018,7,31,Sabino Canyon,Fiery Skipper,Hylephila_phyleus  ,13,33.5,14,6,15
2018,7,31,Sabino Canyon,Taxiles Skipper,Poanes_taxiles  ,21,33.5,14,6,15
2018,7,31,Sabino Canyon,Large Roadside-Skipper,Amblyscirtes_exoteria  ,5,33.5,14,6,15
2018,7,31,Sabino Canyon,Cassus Roadside-Skipper,Amblyscirtes_cassus  ,3,33.5,14,6,15
2018,7,31,Sabino Canyon,Bronze Roadside-Skipper,Amblyscirtes_aenus  ,5,33.5,14,6,15
2018,7,31,Sabino Canyon,Unidentified Butterfly,Lepidoptera _sp,1,33.5,14,6,15
2018,7,29,Santa Rita Mountains,Pipevine Swallowtail,Battus_philenor  ,102,41.5,14,6,13
2018,7,29,Santa Rita Mountains,Pipevine Swallowtail,Battus_philenor  ,102,58.5,16,9,23
2018,7,29,Santa Rita Mountains,Black Swallowtail,Papilio_polyxenes  ,2,41.5,14,6,13
2018,7,29,Santa Rita Mountains,Black Swallowtail,Papilio_polyxenes  ,2,58.5,16,9,23
2018,7,29,Santa Rita Mountains,Two-tailed Swallowtail,Papilio_multicaudata  ,43,41.5,14,6,13
2018,7,29,Santa Rita Mountains,Two-tailed Swallowtail,Papilio_multicaudata  ,43,58.5,16,9,23
2018,7,29,Santa Rita Mountains,Checkered White,Pontia_protodice  ,1,41.5,14,6,13
2018,7,29,Santa Rita Mountains,Checkered White,Pontia_protodice  ,1,58.5,16,9,23
2018,7,29,Santa Rita Mountains,Orange Sulphur,Colias_eurytheme  ,1,41.5,14,6,13
2018,7,29,Santa Rita Mountains,Orange Sulphur,Colias_eurytheme  ,1,58.5,16,9,23
2018,7,29,Santa Rita Mountains,Southern Dogface,Colias_cesonia  ,25,41.5,14,6,13
2018,7,29,Santa Rita Mountains,Southern Dogface,Colias_cesonia  ,25,58.5,16,9,23
