site,lat,long,urb16_1mi,urb16_5mi,urb16_25mi,urb92_1mi,urb92_5mi,urb92_25mi,crop08_1mi,crop08_5mi,crop08_25mi,crop19_1mi,crop19_5mi,crop19_25mi,crop_1mi,crop_5mi,crop_25mi,urb_1mi,urb_5mi,urb_25mi,urb25PerYear,crop25PerYear
EugeneOR,44.0335,-123.0886,0.964535,0.506377,0.067168,0.912834,0.425845,0.054696,0.000091,0.087943,0.021074,0.00254,0.020782,0.068618,0.002449,-0.067161,0.047544,0.909839,0.080532,0.012472,0.000519667,0.004322182
FortCollinsCO,40.57,-105.08,0.99746,0.446709,0.085018,0.736508,0.276125,0.038708,0.001361,0.217196,0.165195,0.000544,0.164639,0.212706,-0.000816,-0.052557,0.047511,0.958752,0.170584,0.04631,0.001929583,0.004319182
YrekaCA,41.77,-122.7,0.01297,0.065824,0.043617,0,0.021697,0.003175,0.000091,0.053426,0.009912,0,0.010303,0.056987,-0.000091,-0.043123,0.047074,0.009795,0.044127,0.040442,0.001685083,0.004279455
PioneerMountainsMT,45.32,-112.85,0,0.001749,0.01004,0,0,0.001747,0,0.041396,0.000102,0,0.000077,0.047031,0,-0.041318,0.046929,-0.001747,0.001749,0.008293,0.000345542,0.004266273
OrganMountainsNM,32.3666,-106.65,0.004082,0.086533,0.033386,0,0.036552,0.014494,0,0.043782,0.000148,0,0.000922,0.04557,0,-0.04286,0.045422,-0.010412,0.049981,0.018892,0.000787167,0.004129273
SantaMargaritaCA,35.38,-120.6,0.096962,0.04292,0.058592,0.096054,0.030751,0.022864,0.058866,0.046989,0.016435,0.103129,0.027315,0.060825,0.044263,-0.019673,0.04439,0.074098,0.012169,0.035728,0.001488667,0.004035455
WestGlacierMT,48.4,-114.03,0.117188,0.032775,0.025947,0.094785,0.020039,0.012576,0.005079,0.037007,0.00057,0.00517,0.00082,0.044875,0.000091,-0.036187,0.044304,0.104612,0.012736,0.013371,0.000557125,0.004027636
LookoutMountainWA,47.2,-120.68,0.083356,0.055852,0.054561,0.000091,0.002341,0.018059,0.001723,0.048163,0.00427,0.000544,0.005769,0.048166,-0.001179,-0.042393,0.043896,0.065297,0.053511,0.036502,0.001520917,0.003990545
BigCreek,36.0732,-121.5132,0.024399,0.019673,0.013628,0.000635,0.004991,0.004081,0.000181,0.056438,0.000224,0.001905,0.000465,0.041986,0.001723,-0.055974,0.041761,0.020318,0.014682,0.009547,0.000397792,0.003796455
SouthernGravelliesMT,45.8667,-111.6833,0.013061,0.024066,0.019154,0,0.007586,0.003746,0.026395,0.138302,0.115253,0.017234,0.147193,0.156937,-0.009161,0.008891,0.041684,0.009315,0.01648,0.015408,0.000642,0.003789455
ColterCanyonGrantTetonNationalParkWY,43.93,-110.73,0,0.005878,0.008627,0,0.005308,0.001342,0,0.043,0.000049,0.000181,0.000116,0.041182,0.000181,-0.042884,0.041133,-0.001342,0.00057,0.007285,0.000303542,0.003739364
CratersoftheMoonID,43.43,-113.62,0.026576,0.008656,0.004544,0.004263,0.002119,0.000966,0,0.039174,0.002932,0,0.003165,0.043916,0,-0.03601,0.040984,0.02561,0.006537,0.003578,0.000149083,0.003725818
GilpinCo,39.8309,-105.4105,0.035465,0.046274,0.194253,0.004898,0.029501,0.144148,0.000181,0.045083,0.000165,0,0.000109,0.037418,-0.000181,-0.044974,0.037252,-0.108683,0.016773,0.050105,0.002087708,0.003386545
CottonwoodSpringCA,33.7441,-115.8173,0.020771,0.00458,0.021242,0.003628,0.001334,0.007242,0,0.04315,0,0,0,0.035059,0,-0.04315,0.035059,0.013529,0.003246,0.014,0.000583333,0.003187182
ChiefJosephHighway,44.7268,-109.374,0.023311,0.006836,0.010084,0,0,0.001865,0.000091,0.0317,0.000785,0.000091,0.0017,0.035699,0,-0.03,0.034914,0.021446,0.006836,0.008219,0.000342458,0.003174
